CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,POLYLINE
A,25862.0,,20000161,07-01 07,"[[-864 4115]
 [-865 4115]
 [-865 4116]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-863 4114]
 [-863 4113]
 [-863 4112]
 [-862 4112]
 [-861 4112]
 [-860 4112]
 [-860 4111]
 [-860 4112]
 [-859 4112]
 [-859 4111]
 [-858 4111]
 [-858 4110]]"
C,,,20000596,07-01 08,"[[-863 4116]
 [-863 4117]
 [-862 4117]
 [-861 4117]
 [-860 4117]
 [-861 4116]]"
B,,Républica,20000178,07-01 07,"[[-861 4116]
 [-861 4117]]"
C,,,20000235,07-01 08,"[[-861 4115]
 [-862 4115]
 [-861 4115]]"
C,,,20000653,07-01 07,"[[-861 4117]
 [-860 4117]
 [-859 4117]]"
C,,,20000009,07-01 07,"[[-860 4119]
 [-859 4119]
 [-859 4118]
 [-860 4118]
 [-860 4117]
 [-860 4116]
 [-861 4116]
 [-861 4115]
 [-862 4115]]"
C,,,20000648,07-01 07,"[[-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4119]]"
C,,,20000320,07-01 07,"[[-860 4115]
 [-860 4114]
 [-861 4114]
 [-862 4114]
 [-862 4113]
 [-862 4114]
 [-862 4113]
 [-863 4113]
 [-864 4113]
 [-864 4114]]"
C,,,20000005,07-01 07,"[[-861 4116]
 [-861 4117]]"
C,,,20000424,07-01 07,"[[-863 4116]
 [-864 4116]
 [-863 4116]
 [-864 4115]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-863 4114]
 [-863 4113]
 [-863 4112]
 [-862 4112]
 [-861 4112]
 [-860 4111]
 [-859 4111]
 [-859 4110]
 [-858 4110]]"
A,4082.0,,20000010,07-01 07,"[[-862 4118]
 [-861 4118]
 [-862 4118]
 [-861 4117]
 [-862 4117]]"
C,,,20000372,07-01 07,"[[-861 4115]
 [-860 4115]
 [-860 4116]]"
B,,Clérigos,20000686,07-01 07,"[[-861 4115]
 [-860 4115]]"
C,,,20000435,07-01 07,"[[-868 4118]
 [-868 4117]
 [-867 4117]
 [-866 4117]
 [-865 4117]
 [-864 4116]
 [-865 4116]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-864 4115]
 [-863 4115]
 [-864 4115]]"
B,,Castelo do Queijo,20000657,07-01 07,"[[-868 4117]
 [-867 4117]
 [-866 4117]
 [-865 4117]
 [-864 4117]
 [-864 4116]
 [-863 4116]]"
A,2002.0,,20000571,07-01 07,"[[-857 4115]
 [-858 4115]
 [-859 4115]
 [-860 4115]
 [-861 4115]]"
C,,,20000154,07-01 07,"[[-862 4116]
 [-862 4117]
 [-863 4117]
 [-864 4117]]"
C,,,20000089,07-01 07,"[[-865 4117]
 [-864 4117]
 [-864 4116]
 [-863 4116]
 [-862 4116]
 [-861 4116]
 [-860 4116]]"
C,,,20000231,07-01 07,"[[-861 4115]
 [-860 4115]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-865 4119]
 [-866 4119]
 [-867 4119]
 [-868 4120]
 [-868 4121]
 [-869 4121]]"
A,25862.0,,20000570,07-01 07,"[[-866 4119]
 [-866 4118]
 [-865 4118]
 [-865 4119]
 [-866 4119]
 [-866 4120]
 [-865 4120]
 [-865 4119]
 [-865 4120]
 [-866 4120]
 [-865 4120]
 [-866 4120]
 [-865 4120]
 [-865 4119]
 [-865 4118]
 [-865 4117]
 [-866 4117]]"
C,,,20000060,07-01 07,"[[-864 4117]
 [-865 4117]
 [-866 4117]
 [-866 4116]
 [-867 4116]
 [-868 4116]
 [-868 4117]
 [-868 4118]
 [-868 4119]
 [-869 4119]
 [-869 4120]
 [-870 4120]
 [-870 4119]]"
C,,,20000596,07-01 08,"[[-861 4116]
 [-861 4115]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-859 4117]
 [-860 4117]]"
B,,Brasília,20000231,07-01 08,"[[-862 4116]
 [-861 4116]
 [-860 4116]]"
C,,,20000005,07-01 08,"[[-861 4116]
 [-861 4115]
 [-861 4116]
 [-861 4117]
 [-861 4118]]"
B,,Castelo do Queijo,20000657,07-01 08,"[[-868 4117]
 [-868 4116]
 [-867 4116]
 [-867 4115]
 [-866 4115]
 [-865 4115]]"
C,,,20000167,07-01 07,"[[-861 4116]
 [-862 4116]
 [-863 4116]
 [-862 4116]
 [-863 4116]
 [-864 4116]]"
B,,Brasília,20000653,07-01 08,"[[-862 4116]
 [-861 4116]
 [-861 4115]]"
C,,,20000403,07-01 07,"[[-864 4115]
 [-864 4116]
 [-864 4117]
 [-863 4118]
 [-862 4118]
 [-861 4118]
 [-860 4118]
 [-859 4118]
 [-858 4117]]"
B,,São Bento,20000403,07-01 08,[[-861 4115]]
C,,,20000503,07-01 07,"[[-863 4116]
 [-864 4116]
 [-865 4117]
 [-864 4117]]"
B,,Clérigos,20000372,07-01 08,"[[-861 4115]
 [-861 4116]
 [-860 4116]
 [-859 4116]
 [-859 4117]
 [-858 4117]]"
A,59594.0,,20000621,07-01 07,"[[-860 4117]
 [-859 4117]
 [-858 4117]
 [-858 4118]
 [-858 4119]
 [-858 4120]
 [-857 4120]
 [-856 4120]
 [-860 4117]
 [-856 4120]]"
B,,Brasília,20000653,07-01 08,"[[-862 4116]
 [-862 4117]]"
B,,Infante,20000571,07-01 08,"[[-861 4115]
 [-860 4115]
 [-860 4116]
 [-857 4116]
 [-858 4116]
 [-860 4116]
 [-861 4116]]"
C,,,20000570,07-01 08,"[[-866 4118]
 [-865 4118]
 [-866 4119]
 [-865 4118]
 [-866 4118]]"
C,,,20000463,07-01 07,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-865 4116]
 [-866 4116]
 [-867 4116]]"
C,,,20000060,07-01 08,"[[-865 4118]
 [-865 4119]
 [-865 4120]
 [-865 4119]
 [-865 4118]
 [-864 4118]
 [-864 4117]
 [-863 4117]
 [-862 4117]]"
B,,Campanhã,20000612,07-01 08,"[[-858 4115]
 [-859 4116]
 [-859 4117]
 [-858 4117]]"
C,,,20000360,07-01 07,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-861 4115]
 [-862 4116]
 [-862 4117]
 [-863 4117]
 [-864 4117]
 [-863 4117]]"
B,,Infante,20000463,07-01 08,"[[-861 4115]
 [-862 4115]]"
C,,,20000520,07-01 07,"[[-862 4117]
 [-861 4117]
 [-860 4117]
 [-860 4116]
 [-859 4116]
 [-860 4116]
 [-860 4115]
 [-859 4115]]"
C,,,20000574,07-01 08,"[[-864 4116]
 [-865 4116]
 [-864 4116]
 [-864 4117]
 [-863 4118]
 [-862 4118]
 [-861 4118]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-858 4117]
 [-857 4117]
 [-857 4116]
 [-856 4116]]"
C,,,20000173,07-01 07,[[-864 4118]]
C,,,20000320,07-01 08,"[[-860 4115]
 [-859 4115]
 [-858 4115]
 [-857 4115]
 [-857 4114]
 [-856 4114]
 [-856 4113]
 [-855 4113]
 [-854 4113]]"
A,40433.0,,20000560,07-01 08,"[[-857 4115]
 [-857 4116]
 [-856 4116]
 [-856 4117]
 [-856 4116]
 [-855 4116]
 [-856 4116]]"
C,,,20000492,07-01 08,"[[-860 4117]
 [-861 4117]
 [-862 4117]
 [-863 4117]
 [-864 4117]
 [-864 4116]
 [-865 4116]]"
A,21875.0,,20000154,07-01 08,"[[-862 4117]
 [-861 4117]
 [-861 4116]
 [-861 4117]]"
A,63882.0,,20000112,07-01 07,"[[-858 4117]
 [-858 4116]
 [-858 4117]
 [-858 4118]
 [-857 4118]
 [-858 4118]
 [-858 4117]
 [-859 4117]
 [-860 4117]
 [-860 4116]
 [-859 4116]
 [-859 4117]
 [-858 4117]]"
C,,,20000305,07-01 08,"[[-864 4117]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-864 4115]
 [-863 4115]
 [-864 4115]
 [-863 4116]
 [-862 4116]
 [-862 4117]
 [-861 4117]
 [-860 4117]
 [-860 4116]
 [-859 4116]
 [-860 4116]]"
C,,,20000520,07-01 09,"[[-861 4116]
 [-861 4115]
 [-861 4116]
 [-860 4116]
 [-860 4115]]"
C,,,20000173,07-01 09,"[[-861 4116]
 [-861 4115]
 [-860 4115]
 [-859 4115]]"
B,,Carregal,20000004,07-01 08,"[[-861 4115]
 [-862 4115]
 [-861 4115]]"
C,,,20000620,07-01 07,"[[-861 4115]
 [-861 4116]
 [-860 4116]
 [-860 4117]]"
C,,,20000671,07-01 07,"[[-861 4116]
 [-861 4115]
 [-860 4115]
 [-860 4116]]"
C,,,20000341,07-01 07,"[[-860 4115]
 [-861 4115]
 [-862 4115]
 [-862 4116]
 [-862 4117]
 [-863 4117]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-865 4119]]"
C,,,20000015,07-01 07,"[[-862 4116]
 [-862 4117]
 [-862 4118]]"
C,,,20000307,07-01 09,"[[-861 4115]
 [-860 4115]
 [-860 4116]
 [-860 4117]]"
C,,,20000435,07-01 08,"[[-860 4115]
 [-861 4115]]"
C,,,20000171,07-01 07,"[[-861 4116]
 [-861 4117]]"
A,33597.0,,20000201,07-01 07,"[[-862 4116]
 [-861 4116]
 [-862 4116]
 [-862 4117]
 [-862 4118]
 [-862 4119]]"
C,,,20000007,07-01 07,"[[-864 4101]
 [-864 4102]
 [-863 4102]
 [-864 4102]
 [-864 4103]
 [-864 4104]
 [-864 4105]
 [-864 4115]
 [-864 4105]
 [-864 4106]
 [-864 4107]
 [-864 4108]
 [-863 4108]
 [-863 4109]
 [-862 4109]
 [-861 4109]
 [-860 4109]
 [-859 4110]
 [-858 4110]
 [-857 4110]
 [-856 4111]
 [-856 4112]
 [-857 4112]
 [-857 4113]
 [-857 4114]
 [-858 4114]
 [-858 4115]
 [-857 4115]
 [-857 4116]
 [-856 4116]
 [-856 4117]
 [-856 4116]
 [-856 4117]]"
C,,,20000199,07-01 07,"[[-858 4115]
 [-859 4116]
 [-858 4115]
 [-859 4116]
 [-858 4116]
 [-857 4116]
 [-857 4117]
 [-856 4117]
 [-856 4116]
 [-857 4116]
 [-858 4115]
 [-857 4115]
 [-856 4115]
 [-856 4114]
 [-855 4114]]"
C,,,20000611,07-01 07,"[[-858 4114]
 [-859 4114]
 [-858 4114]
 [-857 4114]
 [-858 4115]
 [-857 4115]
 [-857 4116]
 [-858 4116]
 [-858 4117]
 [-859 4118]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-863 4117]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-865 4119]
 [-865 4120]]"
C,,,20000167,07-01 08,"[[-867 4116]
 [-866 4116]
 [-866 4117]
 [-865 4117]
 [-865 4118]
 [-865 4119]
 [-865 4120]]"
B,,Clérigos,20000686,07-01 08,"[[-861 4115]
 [-860 4115]
 [-860 4116]
 [-860 4117]
 [-859 4117]
 [-858 4118]
 [-858 4119]
 [-857 4119]
 [-857 4118]
 [-856 4119]
 [-855 4119]
 [-854 4119]]"
A,23799.0,,20000233,07-01 08,"[[-861 4116]
 [-862 4116]
 [-862 4117]]"
C,,,20000372,07-01 08,"[[-862 4117]
 [-863 4117]
 [-864 4117]
 [-865 4117]
 [-866 4116]]"
C,,,20000574,07-01 09,"[[-864 4115]
 [-863 4115]
 [-864 4115]
 [-863 4115]
 [-864 4115]
 [-864 4116]
 [-864 4117]
 [-863 4118]
 [-862 4118]
 [-861 4118]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-858 4117]
 [-859 4117]
 [-858 4117]
 [-859 4117]
 [-858 4117]
 [-859 4118]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-864 4117]
 [-864 4116]
 [-865 4116]
 [-864 4116]]"
C,,,20000398,07-01 07,"[[-861 4116]
 [-860 4116]
 [-860 4117]
 [-861 4117]
 [-862 4117]]"
C,,,20000067,07-01 07,"[[-862 4117]
 [-862 4116]
 [-863 4116]
 [-862 4116]
 [-861 4116]
 [-861 4115]]"
C,,,20000520,07-01 09,"[[-860 4115]
 [-860 4116]
 [-859 4116]]"
C,,,20000112,07-01 09,"[[-860 4115]
 [-860 4114]
 [-859 4114]
 [-859 4113]
 [-858 4114]]"
B,,Pereiró,20000503,07-01 08,"[[-865 4118]
 [-864 4118]
 [-864 4119]]"
C,,,20000569,07-01 08,"[[-861 4116]
 [-862 4116]
 [-863 4116]]"
A,63882.0,,20000473,07-01 07,[[-860 4119]]
C,,,20000367,07-01 07,"[[-861 4115]
 [-866 4119]
 [-861 4115]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]]"
C,,,20000672,07-01 07,"[[-867 4116]
 [-866 4116]
 [-866 4115]
 [-865 4115]
 [-864 4115]
 [-863 4115]
 [-862 4115]
 [-861 4115]
 [-860 4115]
 [-859 4115]
 [-859 4114]
 [-859 4115]
 [-858 4115]
 [-857 4115]
 [-856 4115]
 [-856 4114]
 [-856 4115]
 [-856 4114]]"
A,22495.0,,20000089,07-01 08,"[[-866 4116]
 [-865 4117]
 [-864 4117]
 [-864 4116]
 [-864 4117]
 [-864 4116]
 [-863 4116]]"
B,,Batalha,20000305,07-01 09,"[[-860 4115]
 [-861 4115]
 [-860 4115]]"
A,2002.0,,20000190,07-01 07,"[[-862 4116]
 [-862 4115]
 [-862 4116]
 [-862 4117]
 [-862 4118]
 [-861 4118]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-858 4117]
 [-857 4117]
 [-856 4117]
 [-856 4118]
 [-855 4118]]"
C,,,20000596,07-01 08,"[[-861 4116]
 [-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-865 4116]]"
A,4609.0,,20000600,07-01 07,"[[-857 4118]
 [-858 4118]
 [-858 4117]
 [-859 4117]
 [-859 4116]
 [-859 4115]
 [-860 4115]
 [-861 4115]]"
A,27738.0,,20000009,07-01 08,"[[-860 4117]
 [-860 4118]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-861 4119]]"
C,,,20000496,07-01 07,"[[-860 4115]
 [-861 4115]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-862 4119]
 [-862 4118]
 [-863 4118]
 [-863 4119]
 [-864 4119]]"
C,,,20000013,07-01 08,"[[-860 4119]
 [-859 4119]
 [-859 4118]
 [-859 4119]
 [-859 4120]
 [-858 4120]
 [-857 4120]
 [-856 4120]
 [-856 4121]
 [-855 4121]
 [-854 4121]
 [-853 4121]
 [-852 4121]
 [-851 4120]
 [-850 4120]
 [-849 4120]
 [-849 4119]
 [-848 4119]]"
B,,Galiza,20000201,07-01 09,"[[-862 4116]
 [-863 4116]
 [-864 4116]
 [-863 4116]]"
B,,São Bento,20000307,07-01 09,"[[-861 4115]
 [-860 4115]
 [-861 4115]
 [-860 4115]
 [-860 4114]
 [-859 4114]
 [-859 4113]
 [-860 4113]
 [-860 4112]]"
B,,Ramada Alta,20000010,07-01 08,"[[-862 4117]
 [-861 4117]
 [-860 4117]
 [-861 4116]
 [-860 4116]]"
C,,,20000173,07-01 09,[[-859 4115]]
B,,Clérigos,20000686,07-01 09,"[[-861 4115]
 [-861 4116]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-859 4118]
 [-860 4118]
 [-859 4118]
 [-859 4119]]"
C,,,20000454,07-01 09,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-861 4116]]"
B,,Marquês,20000621,07-01 08,"[[-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-863 4117]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-865 4119]
 [-866 4119]
 [-867 4119]
 [-867 4120]
 [-868 4120]
 [-868 4119]
 [-869 4119]]"
C,,,20000492,07-01 09,"[[-865 4116]
 [-864 4116]
 [-863 4116]
 [-862 4116]
 [-862 4115]
 [-861 4115]
 [-860 4115]
 [-860 4114]]"
C,,,20000534,07-01 09,"[[-859 4116]
 [-859 4115]]"
C,,,20000005,07-01 08,"[[-861 4115]
 [-861 4116]]"
B,,Trindade,20000195,07-01 08,"[[-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-862 4119]]"
B,,Batalha,20000307,07-01 09,"[[-860 4115]
 [-861 4115]
 [-862 4115]
 [-863 4115]
 [-862 4115]
 [-861 4115]
 [-860 4115]]"
B,,Brasília,20000653,07-01 08,"[[-862 4116]
 [-862 4117]
 [-862 4118]
 [-863 4118]
 [-864 4118]]"
C,,,20000406,07-01 07,"[[-862 4117]
 [-862 4116]
 [-863 4116]
 [-862 4116]
 [-862 4115]
 [-861 4115]
 [-860 4115]]"
C,,,20000199,07-01 09,"[[-858 4115]
 [-859 4116]
 [-859 4115]
 [-860 4115]
 [-860 4116]
 [-861 4116]]"
C,,,20000307,07-01 10,"[[-860 4115]
 [-860 4116]]"
A,52460.0,,20000367,07-01 09,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-861 4115]
 [-865 4116]
 [-866 4116]
 [-867 4116]
 [-868 4116]
 [-868 4117]
 [-867 4117]]"
C,,,20000325,07-01 07,"[[-861 4115]
 [-861 4116]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-863 4118]
 [-864 4117]
 [-864 4118]
 [-865 4118]]"
B,,Bom Sucesso,20000503,07-01 09,"[[-863 4116]
 [-864 4116]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-866 4119]
 [-866 4120]
 [-865 4121]
 [-864 4121]
 [-865 4121]
 [-865 4122]
 [-866 4123]
 [-866 4124]
 [-867 4124]]"
B,,Terço,20000015,07-01 09,"[[-860 4117]
 [-859 4117]
 [-858 4118]]"
A,8939.0,,20000101,07-01 09,"[[-861 4115]
 [-861 4116]
 [-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-864 4117]
 [-864 4118]
 [-865 4118]
 [-865 4119]
 [-866 4119]
 [-866 4120]
 [-865 4121]
 [-865 4122]
 [-866 4123]
 [-866 4124]
 [-867 4124]
 [-866 4124]]"
C,,,20000011,07-01 07,"[[-861 4115]
 [-860 4115]
 [-860 4114]
 [-861 4114]
 [-861 4113]
 [-862 4113]
 [-862 4114]
 [-863 4114]
 [-863 4115]
 [-864 4115]
 [-864 4116]
 [-864 4117]
 [-863 4117]
 [-863 4118]
 [-862 4118]
 [-861 4118]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-858 4117]
 [-858 4118]
 [-858 4119]]"
B,,Carregal,20000632,07-01 08,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-863 4115]
 [-864 4115]
 [-864 4116]
 [-864 4115]
 [-863 4115]
 [-864 4115]]"
C,,,20000112,07-01 09,"[[-858 4116]
 [-858 4117]
 [-859 4118]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-862 4119]
 [-862 4120]
 [-862 4121]
 [-862 4122]
 [-862 4123]
 [-863 4123]
 [-863 4124]
 [-864 4124]]"
B,,Terço,20000492,07-01 10,"[[-860 4117]
 [-861 4117]
 [-862 4117]]"
B,,,20000308,07-01 07,"[[-858 4115]
 [-857 4115]
 [-857 4116]
 [-858 4116]
 [-858 4117]
 [-858 4118]
 [-858 4119]
 [-858 4120]
 [-857 4120]
 [-857 4119]]"
C,,,20000333,07-01 07,"[[-859 4115]
 [-859 4116]]"
C,,,20000481,07-01 08,"[[-860 4119]
 [-859 4119]
 [-859 4118]
 [-860 4118]
 [-859 4118]
 [-859 4117]
 [-860 4117]
 [-860 4116]
 [-860 4115]]"
B,,Terço,20000621,07-01 10,"[[-860 4117]
 [-859 4117]
 [-858 4117]
 [-858 4118]
 [-858 4117]]"
B,,Batalha,20000398,07-01 09,"[[-860 4115]
 [-861 4115]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-859 4118]
 [-859 4119]
 [-859 4120]
 [-858 4120]
 [-859 4120]
 [-860 4120]
 [-861 4121]
 [-862 4121]
 [-863 4121]
 [-864 4121]
 [-865 4121]
 [-865 4122]
 [-866 4123]
 [-866 4124]
 [-867 4124]
 [-866 4124]]"
A,30736.0,,20000657,07-01 08,"[[-868 4117]
 [-868 4118]
 [-867 4118]
 [-866 4118]
 [-865 4118]
 [-864 4119]
 [-863 4119]
 [-863 4118]
 [-862 4118]
 [-862 4119]
 [-861 4119]
 [-860 4119]
 [-859 4119]
 [-859 4120]]"
C,,,20000463,07-01 09,[[-861 4115]]
C,,,20000560,07-01 09,"[[-861 4116]
 [-861 4115]
 [-860 4115]
 [-859 4115]
 [-859 4116]]"
B,,Cordoaria,20000671,07-01 09,"[[-861 4115]
 [-860 4116]
 [-860 4117]
 [-861 4117]
 [-862 4117]]"
A,28382.0,,20000190,07-01 09,"[[-861 4116]
 [-862 4116]
 [-861 4116]
 [-860 4116]
 [-860 4115]
 [-859 4115]
 [-860 4115]
 [-859 4115]]"
B,,Cordoaria,20000171,07-01 09,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]]"
C,,,20000569,07-01 09,"[[-861 4116]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4116]
 [-859 4117]
 [-858 4117]
 [-859 4117]
 [-860 4117]
 [-860 4116]
 [-860 4115]
 [-860 4116]]"
C,,,20000486,07-01 09,"[[-861 4116]
 [-861 4115]
 [-861 4116]
 [-861 4117]
 [-861 4118]
 [-861 4119]
 [-861 4120]
 [-861 4121]
 [-861 4122]]"
C,,,20000574,07-01 09,"[[-864 4116]
 [-865 4116]
 [-864 4116]
 [-864 4115]]"
B,,Câmara,20000360,07-01 08,"[[-861 4115]
 [-861 4116]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-860 4117]
 [-860 4118]
 [-861 4118]
 [-862 4118]
 [-862 4119]
 [-862 4120]
 [-862 4121]
 [-862 4122]
 [-862 4123]
 [-862 4124]
 [-862 4125]
 [-861 4125]
 [-861 4126]
 [-861 4127]
 [-861 4126]
 [-860 4126]
 [-859 4126]]"
C,,,20000403,07-01 08,"[[-861 4115]
 [-860 4115]
 [-860 4116]
 [-859 4116]
 [-859 4117]
 [-858 4117]
 [-859 4117]
 [-858 4117]
 [-858 4118]
 [-858 4119]]"
A,36572.0,,20000600,07-01 09,"[[-861 4115]
 [-862 4115]
 [-862 4116]
 [-863 4116]
 [-864 4116]
 [-864 4117]
 [-863 4117]
 [-864 4117]]"
C,,,20000496,07-01 09,"[[-861 4115]
 [-860 4115]
 [-859 4115]
 [-859 4114]
 [-859 4115]
 [-858 4115]
 [-857 4115]
 [-857 4116]
 [-858 4116]
 [-858 4117]
 [-859 4118]
 [-859 4119]
 [-859 4120]
 [-858 4120]
 [-859 4120]
 [-860 4120]
 [-860 4121]
 [-861 4121]
 [-862 4121]
 [-863 4121]
 [-864 4121]
 [-865 4121]
 [-865 4122]
 [-866 4123]
 [-866 4124]
 [-867 4124]]"
B,,H. São João,20000450,07-01 09,"[[-860 4119]
 [-859 4119]
 [-860 4119]
 [-861 4119]
 [-862 4119]
 [-862 4118]
 [-863 4118]
 [-863 4119]
 [-864 4119]
 [-864 4118]]"
C,,,20000545,07-01 08,"[[-859 4117]
 [-860 4117]
 [-860 4116]
 [-861 4116]
 [-860 4116]
 [-861 4116]]"
