CLUSTER_ID,COORDINATES
74,[ -8.6647529  41.1765156]
75,[ -8.61326008  41.18157735]
76,[ -8.67047919  41.16442108]
77,[ -8.58091546  41.16777708]
78,[ -8.59858076  41.17314479]
79,[ -8.69454942  41.18457155]
80,[ -8.60677847  41.13460215]
81,[ -8.56755152  41.15283465]
82,[ -8.67473402  41.16306798]
83,[ -8.6873642   41.16707676]
84,[ -8.61409896  41.12395174]
85,[ -8.61982604  41.17571829]
86,[ -8.60998568  41.18286192]
87,[ -8.57805635  41.19275187]
88,[ -8.58937067  41.18084155]
89,[ -8.6534747   41.18753726]
90,[ -8.61065949  41.19249945]
91,[ -8.60694513  41.11628696]
92,[ -8.63357245  41.19162593]
93,[ -8.64128882  41.14953827]
94,[ -8.61003952  41.12807319]
95,[ -8.68852279  41.2087781 ]
96,[ -8.62471979  41.13711086]
97,[ -8.67988331  41.18512683]
98,[ -8.62402663  41.23328496]
99,[ -8.6323922   41.18765113]
100,[ -8.637153    41.18956822]
101,[ -8.57306863  41.17906707]
102,[ -8.66106105  41.18732637]
103,[ -8.67596017  41.1794288 ]
104,[ -8.64590509  41.14341552]
105,[ -8.55929626  41.17644476]
106,[ -8.67196226  41.17256727]
107,[ -8.53258469  41.13890865]
108,[ -8.66736522  41.18132169]
109,[ -8.69687529  41.19186831]
110,[ -8.63820289  41.18129899]
111,[ -8.55764311  41.18408738]
112,[ -8.7007036   41.18864292]
113,[ -8.55504404  41.16124135]
114,[ -8.62314762  41.12657928]
115,[ -8.63427427  41.12628628]
116,[ -8.5981241   41.13637061]
117,[ -8.54700049  41.1728272 ]
118,[ -8.55709665  41.13927172]
119,[ -8.57287324  41.14818644]
120,[ -8.62231298  41.11875634]
121,[ -8.55974583  41.17099072]
122,[ -8.63893187  41.23538609]
123,[ -8.64122951  41.18685849]
124,[ -8.59183101  41.10551751]
125,[ -8.63044251  41.13521222]
126,[ -8.56631031  41.1402836 ]
127,[ -8.56267539  41.13499695]
128,[ -8.61555607  41.19284145]
129,[ -8.69062383  41.19486627]
130,[ -8.6640341   41.18975756]
131,[ -8.56304547  41.14028199]
132,[ -8.70949377  41.19867956]
133,[ -8.62509535  41.18747449]
134,[ -8.55503012  41.14483863]
135,[ -8.54374415  41.1647286 ]
136,[ -8.55291488  41.21735844]
137,[ -8.69309743  41.2028417 ]
138,[ -8.55274029  41.16917241]
139,[ -8.64370897  41.13015869]
140,[ -8.64462951  41.1360708 ]
141,[ -8.57593943  41.18588231]
142,[ -8.56771031  41.19341505]
143,[ -8.63941594  41.12796671]
144,[ -8.59083635  41.18885542]
145,[ -8.63712518  41.20691554]
146,[ -8.65024288  41.12942043]
147,[ -8.62047791  41.22758486]
148,[ -8.59148615  41.18537743]
149,[ -8.57184601  41.20405594]
150,[ -8.62733893  41.13188436]
151,[ -8.5903991   41.12785956]
152,[ -8.56038303  41.18894346]
153,[ -8.61403077  41.11402768]
154,[ -8.56673505  41.20634541]
155,[ -8.64473922  41.00879553]
156,[ -8.66737049  41.13031082]
157,[ -8.58960204  41.10044294]
158,[ -8.63306677  41.12965996]
159,[ -8.61359923  41.23063861]
160,[ -8.55910441  41.21557839]
161,[ -8.70625307  41.19365602]
162,[ -8.5515685   41.14300672]
163,[ -8.56261953  41.20489214]
164,[ -8.63870167  41.19603239]
165,[ -8.59906744  41.11014022]
166,[ -8.61746359  41.2261639 ]
167,[ -8.55539616  41.20828317]
168,[ -8.56792576  41.18851168]
169,[ -8.62525125  41.21454479]
170,[ -8.56610891  41.18144531]
171,[ -8.70161354  41.19725553]
172,[ -8.6144184  41.2226679]
173,[ -8.70572718  41.19981144]
174,[ -8.5503493   41.21449318]
175,[ -8.55108817  41.17722266]
176,[ -8.56142223  41.20963475]
177,[ -8.61445499  41.20531052]
178,[ -8.52646738  41.16444033]
179,[ -8.55287949  41.18710996]
180,[ -8.63568797  41.19901043]
181,[ -8.56718073  41.14486059]
182,[ -8.55014692  41.20607022]
183,[ -8.59395899  41.12391964]
184,[ -8.58828996  41.12314467]
185,[ -8.51931636  41.1620963 ]
186,[ -8.61046731  41.23813259]
187,[ -8.56128602  41.12934543]
188,[ -8.62710898  41.19964428]
189,[ -8.62932814  41.11228009]
190,[ -8.53890475  41.18689171]
191,[ -8.58061096  41.12945764]
192,[ -8.63572139  41.11951356]
193,[ -8.64167369  41.20209663]
194,[ -8.53148873  41.16042139]
195,[ -8.49861546  41.18850934]
196,[ -8.53151985  41.14965784]
197,[ -8.64167676  41.25917275]
198,[ -8.6006895   41.09806426]
199,[ -8.67265553  41.18929117]
200,[ -8.62723084  41.09767108]
201,[ -8.58977528  41.11420412]
202,[ -8.53696954  41.18348731]
203,[ -8.66521824  41.1229269 ]
204,[ -8.52725791  41.18364651]
205,[ -8.63445289  41.21357303]
206,[ -8.60907098  41.22340382]
207,[ -8.49666113  41.1915554 ]
208,[ -8.56371132  41.14460571]
209,[ -8.58457014  41.19790386]
210,[ -8.55723788  41.20434646]
211,[ -8.55612264  41.2221417 ]
212,[ -8.65444021  41.13208708]
213,[ -8.68413465  41.22287131]
214,[ -8.59081773  41.09021831]
215,[ -8.63094977  41.11643941]
216,[ -8.57817155  41.11165223]
217,[ -8.52482794  41.18985175]
218,[ -8.5933438   41.11652107]
219,[ -8.65525731  41.12242546]
220,[ -8.60656767  41.10638383]
221,[ -8.65701783  41.19810497]
222,[ -8.5737309   41.21006989]
223,[ -8.6580556   41.13187534]
224,[ -8.61493903  41.2370849 ]
225,[ -8.60289177  41.21837051]
226,[ -8.61315018  41.21250716]
227,[ -8.65234715  41.25357189]
228,[ -8.61616363  41.26697566]
229,[ -8.66796188  41.22568717]
230,[ -8.53140752  41.18147434]
231,[ -8.58348117  41.12389509]
232,[ -8.5416611   41.20801774]
233,[ -8.64087451  41.10607638]
234,[ -8.52610787  41.14109999]
235,[ -8.55423104  41.22483519]
236,[ -8.54478927  41.14266672]
237,[ -8.51081424  41.19223795]
238,[ -8.62125363  41.10844555]
239,[ -8.50773919  41.19930757]
240,[ -8.58708605  41.19382605]
241,[ -8.55027808  41.13041576]
242,[ -8.68790917  41.21965326]
243,[ -8.50125808  41.19265649]
244,[ -8.53939653  41.15061138]
245,[ -8.61664492  41.26099036]
246,[ -8.65609753  41.10799455]
247,[ -8.71052016  41.22118978]
248,[ -8.61402688  41.10007127]
249,[ -8.69489706  41.21888181]
250,[ -8.65413473  41.08521711]
251,[ -8.67292428  41.21868992]
252,[ -8.67148126  41.19982728]
253,[ -8.57884566  41.12230317]
254,[ -8.61843463  41.096157  ]
255,[ -8.63691893  41.09615546]
256,[ -8.69012834  41.2403644 ]
257,[ -8.54011008  41.22815391]
258,[ -8.54980682  41.14729597]
259,[ -8.66023078  41.10451874]
260,[ -8.59578173  41.20133445]
261,[ -8.54115401  41.19534475]
262,[ -8.57397908  41.11782842]
263,[ -8.53759869  41.12974405]
264,[ -8.54854386  41.22324965]
265,[ -8.58804356  41.20472904]
266,[ -8.66257666  41.24621439]
267,[ -8.51198838  41.16422112]
268,[ -8.62397147  41.20351352]
269,[ -8.59780651  41.20559018]
270,[ -8.63600787  41.2170991 ]
271,[ -8.71460737  41.20758073]
272,[ -8.63478618  41.10984117]
273,[ -8.66967735  41.22233897]
274,[ -8.51059017  41.11571827]
275,[ -8.65817965  41.12400091]
276,[ -8.58984012  41.21907554]
277,[ -8.54910994  41.15745403]
278,[ -8.64226258  41.02913705]
279,[ -8.54261115  41.21787267]
280,[ -8.6497133   41.11993395]
281,[ -8.54286607  41.1259701 ]
282,[ -8.68477001  41.19649113]
283,[ -8.5464792   41.21954676]
284,[ -8.67874784  41.22190112]
285,[ -8.57060241  41.10441834]
286,[ -8.59419279  41.19607737]
287,[ -8.64693942  41.19373716]
288,[ -8.54609757  41.15277575]
289,[ -8.66502463  41.22386213]
290,[ -8.57620745  41.06744791]
291,[ -8.5248467   41.14589905]
292,[ -8.66113482  41.22181679]
293,[ -8.52801026  41.17281535]
294,[ -8.53470664  41.16700119]
295,[ -8.65338066  41.07215022]
296,[ -8.66645714  41.20011824]
297,[ -8.63802592  41.00901726]
298,[ -8.70726308  41.30129903]
299,[ -8.662644    41.23294903]
300,[ -8.64720744  41.0400603 ]
301,[ -8.59574748  41.21354754]
302,[ -8.64867174  41.06719776]
303,[ -8.65191735  41.20281918]
304,[ -8.63930994  41.09952331]
305,[ -8.5093301   41.15281457]
306,[ -8.63259614  41.08980014]
307,[ -8.55375101  41.1041065 ]
308,[ -8.44690262  41.18370087]
309,[ -8.60925819  41.20858575]
310,[ -8.67434778  41.19527285]
311,[ -8.63526493  41.25923257]
312,[ -8.63999293  41.2245333 ]
313,[ -8.59975187  41.19976767]
314,[ -8.60608996  41.20952172]
315,[ -8.5615225   41.14931164]
316,[ -8.55928727  41.19701215]
317,[ -8.5321697   41.20882084]
318,[ -8.5354806   41.21985098]
319,[ -8.50066729  41.1477177 ]
320,[ -8.72245156  41.24230512]
321,[ -8.66008274  41.10982837]
322,[ -8.63293068  41.23707732]
323,[ -8.58012084  41.22832961]
324,[ -8.64875484  41.24628252]
325,[ -8.59794104  41.23508342]
326,[ -8.63918264  41.08294227]
327,[ -8.66460451  41.2105256 ]
328,[ -8.57500563  41.10975083]
329,[ -8.53634181  41.23585373]
330,[ -8.52374624  41.15091974]
331,[ -8.57605823  41.09609069]
332,[ -8.54404923  41.120966  ]
333,[ -8.62766477  41.22659762]
334,[ -8.32700227  41.20617344]
335,[ -8.54242053  41.13437384]
336,[ -8.71144834  41.2038648 ]
337,[ -8.48918297  41.18743808]
338,[ -8.53920924  41.12497147]
339,[ -8.61093538  41.2676918 ]
340,[ -8.54758953  41.22928704]
341,[ -8.522217    41.12924668]
342,[ -8.66010349  41.25133824]
343,[ -8.61969461  41.24356977]
344,[ -8.5184955   41.19451792]
345,[ -8.52564733  41.13215575]
346,[ -8.58363225  41.11241833]
347,[ -8.65415843  41.21456518]
348,[ -8.64893649  41.11425798]
349,[ -8.60220317  41.08089677]
350,[ -8.64575006  41.08152686]
351,[ -8.60189074  41.2286358 ]
352,[ -8.55279597  41.0968003 ]
353,[ -8.58726192  41.22946468]
354,[ -8.69770302  41.22524464]
355,[ -8.64812003  41.23941547]
356,[ -8.68541488  41.21692844]
357,[ -8.69383738  41.21395297]
358,[ -8.65642359  41.216934  ]
359,[ -8.51451441  41.19763121]
360,[ -8.7002542  41.1779242]
361,[ -8.69658192  41.20981002]
362,[ -8.62944759  41.24776302]
363,[ -8.58013228  41.09700104]
364,[ -8.59439112  41.09319193]
365,[ -8.53580801  41.17190942]
366,[ -8.51870357  41.14114868]
367,[ -8.648004    41.20247971]
368,[ -8.65485     41.11858595]
369,[ -8.65158142  41.20968293]
370,[ -8.5183919  41.1502635]
371,[ -8.6490312  41.0761255]
372,[ -8.66147228  41.11565562]
373,[ -8.53365297  41.10977235]
374,[ -8.66391873  41.25290165]
375,[ -8.7137414  41.3255432]
376,[ -8.62029133  41.24731295]
377,[ -8.51890107  41.09532517]
378,[ -8.76689648  41.37892303]
379,[ -8.64150719  41.09282937]
380,[ -8.53256382  41.23564592]
381,[ -8.57419104  41.23149536]
382,[ -8.56654864  41.20042971]
383,[ -8.60333646  41.08397304]
384,[ -8.56227264  41.11574541]
385,[ -8.59915657  41.08427287]
386,[ -8.50065059  41.14383585]
387,[ -8.60872017  41.20211173]
388,[ -8.714924    41.32863644]
389,[ -8.57936858  41.13628335]
390,[ -8.63504271  41.26280605]
391,[ -8.65056069  41.05027165]
392,[ -8.50820305  41.15826912]
393,[ -8.66506405  41.25601741]
394,[ -8.57943213  41.10320333]
395,[ -8.44200696  41.1831756 ]
396,[ -8.5451034   41.12963436]
397,[ -8.62257989  41.09972704]
398,[ -8.52371161  41.12530747]
399,[ -8.58635593  41.23355116]
400,[ -8.55301475  41.10068762]
401,[ -8.53059279  41.10877775]
402,[ -8.65125687  41.08062725]
403,[ -8.76893913  41.3855825 ]
404,[ -8.5212975  41.1003545]
405,[ -8.652087    41.10213232]
406,[ -8.64142624  41.06767217]
407,[ -8.58629635  41.1353683 ]
408,[ -8.64715604  41.10119557]
409,[ -8.53041772  41.24155275]
410,[ -8.531739    41.18625397]
411,[ -8.7036664   41.22205174]
412,[ -8.5046625   41.20079599]
413,[ -8.65713103  41.09403385]
414,[ -8.61631977  41.0659905 ]
415,[ -8.50583202  41.18574905]
416,[ -8.61876675  41.10338391]
417,[ -8.63416786  41.07385716]
418,[ -8.63645063  41.06457619]
419,[ -8.61026709  41.25893189]
420,[ -8.61666863  41.25491592]
421,[ -8.59726957  41.24699886]
422,[ -8.64431565  41.09012942]
423,[ -8.64000523  41.2158796 ]
424,[ -8.5966479  41.0870856]
425,[ -8.58756081  41.06206373]
426,[ -8.53840007  41.09205341]
427,[ -8.69570224  41.23697291]
428,[ -8.60710298  41.24812314]
429,[ -8.5613296  41.2319371]
430,[ -8.65244637  41.23378153]
431,[ -8.64981553  41.09325979]
432,[ -8.54237539  41.2322265 ]
433,[ -8.57087705  41.050935  ]
434,[ -8.5209765   41.40390067]
435,[ -8.523363  41.23539 ]
436,[ -8.33504983  41.2051885 ]
437,[ -8.56249433  41.09637583]
438,[ -8.5291594   41.12255242]
439,[ -8.71965594  41.25168628]
440,[ -8.59677402  41.06447168]
441,[ -8.58869881  41.23952864]
442,[ -8.61174398  41.07843208]
443,[ -8.68277856  41.22924975]
444,[ -8.68948941  41.22646659]
445,[ -8.746251    41.35243659]
446,[ -8.63407235  41.22749841]
447,[ -8.54686553  40.92838641]
448,[ -8.472867    41.34101647]
449,[ -8.62925166  41.00871294]
450,[ -8.57042532  41.0952528 ]
451,[ -8.64009162  41.01748002]
452,[ -8.58932063  41.22545363]
453,[ -8.52670524  41.22722222]
454,[ -8.72023684  41.26692692]
455,[ -8.57051137  41.06443988]
456,[ -8.63356388  41.06207794]
457,[ -8.58510019  41.24222006]
458,[ -8.55122737  41.11820981]
459,[ -8.4739005   41.06714794]
460,[ -8.50707709  41.14162685]
461,[ -8.56750079  41.22732313]
462,[ -8.54166102  41.23867596]
463,[ -8.64734955  41.26208094]
464,[ -8.59884202  41.25508474]
465,[ -8.64809335  41.10538696]
466,[ -8.5309427   41.22455048]
467,[ -8.73682239  41.34930985]
468,[ -8.57126993  41.22287041]
469,[ -8.72519263  41.27436293]
470,[ -8.4761772  41.3411642]
471,[ -8.72378857  41.26318261]
472,[ -8.48350718  41.18290016]
473,[ -8.33159009  41.2038406 ]
474,[ -8.58378244  41.20656007]
475,[ -8.60381665  41.2434496 ]
476,[ -8.52029728  41.11124881]
477,[ -8.69322407  41.22974229]
478,[ -8.62656921  41.08004764]
479,[ -8.60541771  41.28227571]
480,[ -8.55520968  40.92924468]
481,[ -8.75866127  41.37720541]
482,[ -8.39551149  41.62343773]
483,[ -8.63971875  41.07691463]
484,[ -8.60847255  41.2617051 ]
485,[ -8.51028435  41.2141725 ]
486,[ -8.74224923  41.35353046]
487,[ -8.58144415  41.214042  ]
488,[ -8.67641954  41.22961638]
489,[ -8.30919254  41.19669208]
490,[ -8.51166231  41.20727954]
491,[ -8.663502    41.26003454]
492,[ -8.62829124  41.08464995]
493,[ -8.55041992  41.23369824]
494,[ -8.57062776  41.21836745]
495,[ -8.56554868  41.1095115 ]
496,[ -8.61077226  41.09607   ]
497,[ -8.51842563  41.06500484]
498,[ -8.56699816  41.05688376]
499,[ -8.69999449  41.24299986]
500,[ -8.51038662  41.21047241]
501,[ -8.56775968  41.25785011]
502,[ -8.64329075  41.2152685 ]
503,[ -8.63487566  41.04030986]
504,[ -8.77265357  41.39059449]
505,[ -8.71764866  41.22704031]
506,[ -8.56085786  41.03968526]
507,[ -8.52023906  41.18553797]
508,[ -8.6322105   41.01616085]
509,[ -8.64415721  41.07353321]
510,[ -8.60540797  41.06230756]
511,[ -8.63932712  41.03819418]
512,[ -8.74475836  41.35940427]
513,[ -8.50560518  40.93503055]
514,[ -8.62056955  41.08998518]
515,[ -8.76446888  41.39401922]
516,[ -8.59952194  41.06220806]
517,[ -8.63961609  41.25515091]
518,[ -8.54651812  41.26400916]
519,[ -8.62187597  41.26375828]
520,[ -8.50966537  41.14626609]
521,[ -8.60244271  41.06083965]
522,[ -8.60101055  41.07383013]
523,[ -8.65552994  41.09060584]
524,[ -8.56490806  41.0492459 ]
525,[ -8.434098    41.54901823]
526,[ -8.37711    41.2768221]
527,[ -8.5285209  41.2327647]
528,[ -8.604078   41.2340349]
529,[ -8.3032728  41.4413604]
530,[ -8.63558317  41.24170707]
531,[ -8.50133855  41.09603679]
532,[ -8.76411714  41.38298814]
533,[ -8.5955161  41.0820449]
534,[ -8.55877934  41.10341772]
535,[ -8.65390531  41.05670121]
536,[ -8.72854355  41.30848334]
537,[ -8.70707764  41.22567482]
538,[ -8.6254875   41.07126246]
539,[ -8.62825339  41.06137179]
540,[ -8.64137167  41.02394067]
541,[ -8.60771667  41.27195867]
542,[ -8.628558  41.04448 ]
543,[ -8.563265    41.09096267]
544,[ -8.66011733  41.259215  ]
545,[ -8.477623  41.181961]
546,[ -8.56618467  41.04567033]
547,[ -8.43931233  41.25140367]
548,[ -8.52558681  41.22104158]
549,[ -8.51034427  41.110911  ]
550,[ -8.65278762  40.95507912]
551,[ -8.49748708  41.08657119]
552,[ -8.60597377  41.27817323]
553,[ -8.71758623  41.25982569]
554,[ -8.75035315  41.34295592]
555,[ -8.67819946  41.20960327]
556,[ -8.42453136  41.55417828]
557,[ -8.33920308  41.20214796]
558,[ -8.69151528  41.25631968]
559,[ -8.65511352  41.22371412]
560,[ -8.69757804  41.24981016]
561,[ -8.63938584  41.2437132 ]
562,[ -8.63580708  41.24848644]
563,[ -8.628399    41.05372032]
564,[ -8.59182225  41.25649612]
565,[ -8.2916895   41.44688213]
566,[ -8.56273275  40.92497438]
567,[ -8.46790687  41.18707163]
568,[ -8.64356663  41.2100175 ]
569,[ -8.58035113  41.23594409]
570,[ -8.498538    41.13804796]
571,[ -8.64595526  41.05894422]
572,[ -8.75423152  41.35927774]
573,[ -8.65043922  41.097501  ]
574,[ -8.72091274  41.33270387]
575,[ -8.68358191  41.287329  ]
576,[ -8.54592926  41.10394539]
577,[ -8.52713491  41.10348209]
578,[ -8.57398813  41.04250826]
579,[ -8.60474005  41.26918705]
580,[ -8.40135232  41.07070432]
581,[ -8.56834036  41.11495732]
582,[ -8.59815368  41.26302409]
583,[ -8.50163605  41.06759768]
584,[ -8.61309368  41.02584995]
585,[ -8.5564035   41.03022109]
586,[ -8.51600945  41.25266345]
587,[ -8.64078136  40.64392718]
588,[ -8.42708005  41.55051477]
589,[ -8.52967718  41.11709032]
590,[ -8.46797743  41.17707771]
591,[ -8.46405386  41.18089929]
592,[ -8.29663843  41.43594386]
593,[ -8.51913729  41.40674357]
594,[ -8.51555571  41.20894457]
595,[ -8.70117214  41.24765443]
596,[ -8.54080371  41.08206257]
597,[ -8.55728314  41.08179686]
598,[ -8.47321586  41.07740829]
599,[ -8.53422171  41.42783786]
600,[ -8.56145057  41.33411914]
601,[ -8.5158684  41.0817564]
602,[ -8.63946225  41.0488902 ]
603,[ -8.53426305  41.12130015]
604,[ -8.61715845  41.5330632 ]
605,[ -8.66600595  41.2673985 ]
606,[ -8.62368063  40.98548842]
607,[ -8.47109226  41.19114884]
608,[ -8.74198232  41.36524768]
609,[ -8.70245811  41.21338121]
610,[ -8.517537    41.24748932]
611,[ -8.56518016  41.03760316]
612,[ -8.63065942  41.27075811]
613,[ -8.55383779  41.27930668]
614,[ -8.29373921  41.44289163]
615,[ -8.52202516  41.19977037]
616,[ -8.74952005  41.34742816]
617,[ -8.64085358  41.05818805]
618,[ -8.59774311  41.07352216]
619,[ -8.64424279  41.23605884]
620,[ -8.72407895  41.33496553]
621,[ -8.57601663  41.21643268]
622,[ -8.46484153  41.18403884]
623,[ -8.4441255  41.065468 ]
624,[ -8.352124   41.1733735]
625,[ -8.5454675  41.0892695]
626,[ -8.67347    41.2456815]
627,[ -8.756586  41.393013]
628,[ -8.071915  41.266214]
629,[ -8.7070355  41.2532715]
630,[ -8.5091685  41.107517 ]
631,[ -8.4980565  41.205762 ]
632,[ -7.5978075  41.249412 ]
633,[ -8.718926   41.2303075]
634,[ -8.6074745  41.066897 ]
635,[ -8.633704  41.275368]
636,[ -8.567793  41.033616]
637,[ -8.506645   41.0809305]
638,[ -8.53127153  41.08602018]
639,[ -8.69929465  41.30801894]
640,[ -8.69959218  41.25931412]
641,[ -8.46026735  41.17323335]
642,[ -8.51742265  41.40218224]
643,[ -8.62321606  41.00710712]
644,[ -8.61559835  41.27805476]
645,[ -8.58525247  41.06655953]
646,[ -8.63768859  41.05581988]
647,[ -8.53289735  41.03921276]
648,[ -8.52827982  41.40527612]
649,[ -8.62383825  41.025447  ]
650,[ -8.6755185   41.28993619]
651,[ -8.56493381  41.26344413]
652,[ -8.54632238  41.256234  ]
653,[ -8.54658     41.07570919]
654,[ -8.48697975  41.11245844]
655,[ -8.19937969  41.36363944]
656,[ -8.60882175  41.04624713]
657,[ -8.39533162  41.55697575]
658,[ -8.71172719  41.23094119]
659,[ -8.65435894  41.23926956]
660,[ -8.52435956  41.11896544]
661,[ -8.48045194  41.34450037]
662,[ -8.41971881  41.54640638]
663,[ -8.54695969  41.002182  ]
664,[ -8.49452175  40.90254244]
665,[ -8.4908784  41.0909682]
666,[ -8.5723212  40.929264 ]
667,[ -8.5521786  41.1117264]
668,[ -8.525532  41.201064]
669,[ -8.544858   41.0932674]
670,[ -8.4937224  41.1408234]
671,[ -8.567313   41.3262792]
672,[ -8.5128426  41.1457296]
673,[ -8.538633   41.2462884]
674,[ -8.5207434  41.4131196]
675,[ -8.5588926  41.0636808]
676,[ -8.4421638  41.258379 ]
677,[ -8.589423   41.0287044]
678,[ -8.6271732  41.0478   ]
679,[ -8.691093  41.294961]
680,[ -8.46908614  41.18323371]
681,[ -8.78524071  41.51671136]
682,[ -8.40634329  41.55683336]
683,[ -8.74393264  41.36921229]
684,[ -8.72995179  41.33234121]
685,[ -8.54746907  41.06615657]
686,[ -8.58408686  41.08307593]
687,[ -8.61709629  41.07878936]
688,[ -8.58859779  41.08581386]
689,[ -8.47941043  41.17681221]
690,[ -8.57985236  41.25670136]
691,[ -8.63497523  40.96234523]
692,[ -8.55466546  41.02283215]
693,[ -8.69320038  41.26493838]
694,[ -8.75208185  41.36719431]
695,[ -8.73653608  41.30710685]
696,[ -8.76699692  41.39801446]
697,[ -8.64323238  40.99686438]
698,[ -8.83045038  41.69612562]
699,[ -8.61768138  41.08645108]
700,[ -8.61313777  41.05614046]
701,[ -8.58177831  41.28613754]
702,[ -8.28466892  41.20645223]
703,[ -8.67465692  41.27395777]
704,[ -8.61892962  41.05149438]
705,[ -8.54205162  41.10087946]
706,[ -8.705097    41.23225246]
707,[ -8.55372877  41.33748115]
708,[ -8.60065615  41.27502185]
709,[ -8.49413562  40.89574246]
710,[ -8.49572325  41.132748  ]
711,[ -8.5058835  41.3380725]
712,[ -8.53546575  41.2276125 ]
713,[ -8.5394895  40.9959645]
714,[ -8.631831   42.0720855]
715,[ -8.6219775  41.059698 ]
716,[ -8.465307    41.16413775]
717,[ -8.54829225  41.249994  ]
718,[ -8.68211025  41.33800575]
719,[ -8.550558    41.08743075]
720,[ -8.5744275  41.269836 ]
721,[ -8.67990825  41.280747  ]
722,[ -8.60956275  41.0848545 ]
723,[ -8.57397675  41.263053  ]
724,[ -8.73341775  41.2973445 ]
725,[ -8.74745325  41.36347275]
726,[ -8.74869375  41.37585675]
727,[ -8.6316795   41.03627025]
728,[ -8.73490575  41.33622075]
729,[ -8.6787315  41.304753 ]
730,[ -8.7823635  41.533317 ]
731,[ -8.76100255  41.37203291]
732,[ -8.38711391  41.28124173]
733,[ -8.57752527  41.077368  ]
734,[ -8.51814     41.28031145]
735,[ -8.702424    41.30245064]
736,[ -8.27595736  41.20483173]
737,[ -8.63515964  40.924287  ]
738,[ -8.58603355  41.08894855]
739,[ -8.43576464  40.21576036]
740,[ -8.28553009  41.21373518]
741,[ -8.72054755  41.23324555]
742,[ -8.37628445  41.55456109]
743,[ -8.713962    41.31469718]
744,[ -8.64216982  42.025419  ]
745,[ -8.51452773  41.05941464]
746,[ -8.46459082  41.16750218]
747,[ -8.29433045  41.21721164]
748,[ -8.57702127  41.02363882]
749,[ -8.58222655  40.98958773]
750,[ -8.41967182  40.20718173]
751,[ -8.49080045  41.137749  ]
752,[ -8.67483982  41.25278782]
753,[ -8.58815345  41.05261309]
754,[ -8.5510089  41.0048343]
755,[ -8.6127255  40.9986243]
756,[ -8.7012036  41.3121384]
757,[ -8.5000806  41.2677009]
758,[ -8.5184676  41.0688765]
759,[ -8.5120776  41.0357898]
760,[ -8.4856176  40.8945159]
761,[ -8.5737015  41.0465799]
762,[ -8.6477085  41.2881111]
763,[ -8.6988078  41.300118 ]
764,[ -8.4752847  41.3236467]
765,[ -8.6785416  41.2702461]
766,[ -8.6246379  41.2507197]
767,[ -8.4962124  41.1166917]
768,[ -8.4932505  41.0750316]
769,[ -8.7246639  41.2968717]
